【整租】天河公园 魔方公寓天河公园 1室1厅,【整租】天河公园,1620,http://gz.58.com/pinpaigongyu/31431959974856x.shtml?psid=117891059197339040742194654
【整租】岗顶 魔方公寓（师大暨 1室1厅,【整租】岗顶,1620,http://gz.58.com/pinpaigongyu/31433459727184x.shtml?psid=117891059197339040742194654
【整租】华景新城 魔方公寓华景新城 1室1厅,【整租】华景新城,1620,http://gz.58.com/pinpaigongyu/31433523785283x.shtml?psid=117891059197339040742194654
【整租】东圃 唐顿公寓 1室1厅,【整租】东圃,1600,http://gz.58.com/pinpaigongyu/31220503770794x.shtml?psid=117891059197339040742194654
【整租】华景新城 魔方公寓华景新城 1室1厅,【整租】华景新城,1800,http://gz.58.com/pinpaigongyu/31240370296245x.shtml?psid=117891059197339040742194654
【整租】天河公园 魔方公寓广州软件 1室1厅,【整租】天河公园,1900,http://gz.58.com/pinpaigongyu/31343764287674x.shtml?psid=117891059197339040742194654
【整租】华景新城 魔方公寓（华景新 1室1厅,【整租】华景新城,1800,http://gz.58.com/pinpaigongyu/31349587916736x.shtml?psid=117891059197339040742194654
【整租】天河公园 魔方公寓天河公园 1室1厅,【整租】天河公园,1620,http://gz.58.com/pinpaigongyu/31433483143610x.shtml?psid=117891059197339040742194654
【整租】岗顶 魔方公寓师大暨大 1室1厅,【整租】岗顶,1620,http://gz.58.com/pinpaigongyu/31422391260349x.shtml?psid=117891059197339040742194654
【合租】天河北 东方之珠花园 4室次卧,东方之珠花园,1890,http://gz.58.com/pinpaigongyu/30387974893375x.shtml?psid=117891059197339040742194654
【整租】瑞东公寓 珠村 珠村一期公寓,珠村,1650-1900,http://gz.58.com/pinpaigongyu/29771942455618x.shtml?psid=117891059197339040742194654
【整租】棠下 泊寓.金融城 1室1厅,泊寓.金融城,1999,http://gz.58.com/pinpaigongyu/30899471755209x.shtml?psid=117891059197339040742194654
【整租】瑞东公寓 珠村 珠村二期,珠村,1500-1700,http://gz.58.com/pinpaigongyu/29746428277951x.shtml?psid=117891059197339040742194654
【合租】天河北 天誉花园二期 4室次卧,天誉花园二期,1800,http://gz.58.com/pinpaigongyu/29727276205743x.shtml?psid=117891059197339040742194654
【整租】世联红璞公寓 小新塘 智慧城小新塘,小新塘,1850-1920,http://gz.58.com/pinpaigongyu/31264073016755x.shtml?psid=117891059197339040742194654
【整租】珠江新城 泊寓.金融城 1室1厅,泊寓.金融城,1999,http://gz.58.com/pinpaigongyu/30933377047094x.shtml?psid=117891059197339040742194654
【整租】世联红璞公寓 珠村 珠村七夕广场店,珠村,1550-1800,http://gz.58.com/pinpaigongyu/31420009352746x.shtml?psid=117891059197339040742194654
【合租】天河北 华标广场 4室次卧,华标广场,1790,http://gz.58.com/pinpaigongyu/30388063072428x.shtml?psid=117891059197339040742194654
【整租】瑞东公寓 珠村 珠村二期,珠村,1800-1900,http://gz.58.com/pinpaigongyu/29703897780778x.shtml?psid=117891059197339040742194654
【整租】珠江新城 泊寓.金融城 1室1厅,泊寓.金融城,1999,http://gz.58.com/pinpaigongyu/30933381660362x.shtml?psid=117891059197339040742194654
【合租】珠江新城 安骏大厦 5室主卧,安骏大厦,1790,http://gz.58.com/pinpaigongyu/29538991830084x.shtml?psid=158245431197339040840172772
